time,value
2024-07-28T01:04:30.197117102Z,16
2024-07-28T01:04:31.118194451Z,13
2024-07-28T01:04:31.840362506Z,14
2024-07-28T01:04:32.244306558Z,12
2024-07-28T01:04:33.889873356Z,13
2024-07-28T01:04:33.891729854Z,15
2024-07-28T01:04:34.293164258Z,13
2024-07-28T01:04:35.526343445Z,12
2024-07-28T01:04:36.954538188Z,15
2024-07-28T01:04:37.988340006Z,14
2024-07-28T01:04:39.008497172Z,13
2024-07-28T01:04:39.930169629Z,15
2024-07-28T01:04:40.439250335Z,14
2024-07-28T01:04:40.864259083Z,13
2024-07-28T01:04:43.680179441Z,12
2024-07-28T01:04:44.127582168Z,15
2024-07-28T01:04:44.129580292Z,13
2024-07-28T01:04:44.131372873Z,14
2024-07-28T01:04:44.541071434Z,13
2024-07-28T01:04:45.661662532Z,14
2024-07-28T01:04:46.072779138Z,12
2024-07-28T01:04:48.682200227Z,14
2024-07-28T01:04:49.058621591Z,16
2024-07-28T01:04:49.06170057Z,14
2024-07-28T01:04:49.350667695Z,13
2024-07-28T01:04:50.877736622Z,15
2024-07-28T01:04:51.606597762Z,14
2024-07-28T01:04:51.904859887Z,16
2024-07-28T01:04:52.952342215Z,15
2024-07-28T01:04:53.644873087Z,13
2024-07-28T01:04:54.975565776Z,11
2024-07-28T01:04:55.50562121Z,14
2024-07-28T01:04:56.206388398Z,12
2024-07-28T01:04:56.835028346Z,89
2024-07-28T01:04:57.33471077Z,92
2024-07-28T01:05:00.101699193Z,71
2024-07-28T01:05:00.103454496Z,95
2024-07-28T01:05:00.104978146Z,71
2024-07-28T01:05:00.106493515Z,16
2024-07-28T01:05:01.124382299Z,15
2024-07-28T01:05:01.638715619Z,13
2024-07-28T01:05:04.19691662Z,12
2024-07-28T01:05:04.198397523Z,13
2024-07-28T01:05:04.199955467Z,15
2024-07-28T01:05:05.011889803Z,93
2024-07-28T01:05:06.661387716Z,13
2024-07-28T01:05:07.897522332Z,13
2024-07-28T01:05:08.910007385Z,12
2024-07-28T01:05:10.336403821Z,11
2024-07-28T01:05:10.645718939Z,13
2024-07-28T01:05:11.980908646Z,14
2024-07-28T01:05:12.384016677Z,13
2024-07-28T01:05:12.794282083Z,12
2024-07-28T01:05:14.12519215Z,11
2024-07-28T01:05:14.438866329Z,12
2024-07-28T01:05:15.558953619Z,106
2024-07-28T01:05:15.865677614Z,11
2024-07-28T01:05:16.69228337Z,5
2024-07-28T01:05:17.303621427Z,6
2024-07-28T01:05:18.125929569Z,5
2024-07-28T01:05:18.739831771Z,4
2024-07-28T01:05:19.760411171Z,5
2024-07-28T01:05:20.167859008Z,8
2024-07-28T01:05:23.137496585Z,12
2024-07-28T01:05:23.139593639Z,92
2024-07-28T01:05:23.141328634Z,25
2024-07-28T01:05:23.143090133Z,74
2024-07-28T01:05:23.444966732Z,71
2024-07-28T01:05:24.468733549Z,26
2024-07-28T01:05:25.287350233Z,25
2024-07-28T01:05:26.107779159Z,40
2024-07-28T01:05:26.560975319Z,25
2024-07-28T01:05:27.359697672Z,70
